Subj_idx,Stimulus,Response,Confidence,RT_decision,RT_confidence,Difficulty
1,2,1,1,1.851,0.796,1
1,2,1,1,0.845,0.271,1
1,2,1,1,0.299,0.334,1
1,2,1,1,0.468,0.391,1
1,2,1,1,0.472,0.383,1
1,2,1,1,0.369,0.351,1
1,1,1,1,0.379,0.358,1
1,2,1,1,0.369,0.351,1
1,2,1,1,0.4,0.321,1
1,1,1,1,0.349,0.547,1
1,1,1,1,0.041,0.416,1
1,1,1,1,0.442,0.373,1
1,1,1,1,0.335,0.405,1
1,1,1,1,0.469,0.416,1
1,2,1,1,0.415,0.366,1
1,1,1,1,0.017,0.433,1
1,2,1,1,0.293,1.613,1
1,2,1,1,0.27,0.433,1
1,2,1,1,0.541,0.509,1
1,2,1,1,0.281,1.449,1
1,1,1,1,0.379,0.272,1
1,2,1,1,0.481,0.292,1
1,1,1,1,0.501,0.352,1
1,2,1,1,0.654,0.447,1
1,1,1,1,0.494,0.336,1
1,1,1,1,0.49,0.351,1
1,2,1,1,0.303,0.31,1
1,2,1,1,0.551,0.336,1
1,1,1,1,0.619,0.312,1
1,1,1,1,0.325,0.328,1
1,2,1,1,0.403,0.527,1
1,2,1,1,0.121,0.391,1
1,2,1,1,0.206,0.431,1
1,1,1,1,0.208,3.731,1
1,1,1,1,19.117,0.319,1
1,2,1,1,0.355,0.311,1
1,1,1,1,0.342,0.351,1
1,2,1,1,0.282,0.351,1
1,1,1,1,0.353,0.351,1
1,1,-10,-10,-10,-10,1
1,2,1,1,0.645,0.283,1
1,2,1,1,0.384,0.304,1
1,2,1,1,0.309,0.392,1
1,1,1,1,0.409,0.311,1
1,1,1,1,0.359,0.256,1
1,1,1,1,0.363,0.311,1
1,2,1,1,0.402,1.168,1
1,2,1,1,0.38,0.367,1
1,1,1,1,0.056,0.392,1
1,1,1,1,0.356,0.714,1
1,1,1,1,0.378,0.416,1
1,2,1,1,0.397,0.864,1
1,1,1,1,0.442,0.543,1
1,1,1,1,0.311,0.407,1
1,2,1,1,0.328,0.392,1
1,1,1,1,0.399,0.359,1
1,1,1,1,0.083,0.368,1
1,1,1,1,0.521,0.376,1
1,2,1,1,0.327,0.334,1
1,1,1,1,0.314,0.296,1
1,1,1,1,0.29,0.352,1
1,1,1,1,0.355,1.871,1
1,1,1,1,0.398,0.335,1
1,2,1,1,0.488,0.488,1
1,2,1,1,0.382,0.364,1
1,1,1,1,0.344,0.509,1
1,2,1,1,0.033,0.387,1
1,1,1,1,0.197,0.422,1
1,2,1,1,0.411,1.207,1
1,1,1,1,0.373,0.351,1
1,1,1,1,0.036,0.372,1
1,2,2,3,1.297,0.775,1
1,2,1,1,1.151,0.23,1
1,1,1,1,0.33,0.352,1
1,1,1,1,0.343,0.352,1
1,1,1,1,0.302,0.337,1
1,1,1,1,0.546,0.471,1
1,2,1,1,0.393,0.359,1
1,1,1,1,0.551,0.35,1
1,1,-10,-10,-10,-10,1
1,1,1,2,0.765,0.433,1
1,1,1,3,0.776,0.404,1
1,2,2,3,1.107,0.624,1
1,2,1,1,0.567,0.31,1
1,2,1,2,0.857,0.512,1
1,2,1,2,1.776,0.183,1
1,2,1,1,0.806,0.304,1
1,1,1,2,0.461,1.128,1
1,2,1,1,0.484,0.391,1
1,1,1,1,0.675,0.374,1
1,2,1,1,0.44,0.374,1
1,1,1,1,0.361,0.367,1
1,1,1,2,0.817,0.776,1
1,2,1,1,0.324,0.328,1
1,2,1,1,0.076,0.375,1
1,2,1,1,0.431,0.335,1
1,2,1,1,0.293,0.431,1
1,1,1,1,0.343,0.335,1
1,1,1,2,0.534,0.376,1
1,2,-10,-10,-10,-10,1
2,1,1,3,1.497,1.495,1
2,1,1,1,1.896,1.39,1
2,1,1,3,1.504,1.89,1
2,1,1,4,1.435,0.908,1
2,1,1,3,0.991,1.774,1
2,1,1,3,1.186,1.238,1
2,1,1,4,1.068,1.027,1
2,2,1,2,1.679,1.381,1
2,2,1,3,0.741,0.752,1
2,2,1,3,0.634,0.695,1
2,1,1,3,0.687,0.64,1
2,2,1,2,0.852,1.664,1
2,2,2,3,2.203,0.755,1
2,1,1,2,2.018,1.058,1
2,2,2,3,2.276,0.667,1
2,1,1,2,1.478,0.807,1
2,2,2,3,2.48,0.598,1
2,2,2,4,1.966,0.704,1
2,2,2,4,1.383,0.963,1
2,2,2,3,1.263,1.067,1
2,1,2,3,1.453,0.693,1
2,1,2,3,1.245,0.594,1
2,2,1,2,1.254,0.699,1
2,2,2,3,1.894,0.39,1
2,1,1,2,1.157,0.463,1
2,1,2,3,1.423,0.431,1
2,1,1,3,1.153,0.87,1
2,2,2,4,1.606,0.611,1
2,2,2,3,2.071,0.933,1
2,1,1,3,0.991,1.089,1
2,2,2,3,1.038,0.536,1
2,1,1,2,0.869,0.406,1
2,2,2,2,1.291,0.391,1
2,2,2,3,1.533,1.136,1
2,1,1,3,0.951,1.016,1
2,1,1,3,0.921,0.773,1
2,1,1,2,1.748,0.899,1
2,1,1,1,0.937,0.786,1
2,2,2,3,0.939,0.545,1
2,1,-10,-10,-10,-10,1
2,1,1,1,0.987,0.472,1
2,2,1,2,1,0.332,1
2,1,1,2,0.678,1.148,1
2,2,2,3,1.173,0.596,1
2,1,1,2,0.81,0.459,1
2,2,2,1,1.345,0.271,1
2,2,2,2,1.461,0.696,1
2,2,2,2,1.128,0.413,1
2,2,1,1,1.206,0.337,1
2,1,2,2,1.103,0.604,1
2,1,1,2,0.886,0.497,1
2,1,2,3,1.277,0.762,1
2,2,1,1,0.971,0.36,1
2,2,2,2,1.192,0.663,1
2,2,2,2,1.358,0.366,1
2,2,2,3,1.166,0.462,1
2,2,2,3,0.988,0.308,1
2,2,2,2,0.944,0.437,1
2,2,2,2,1.02,0.272,1
2,1,1,2,1.195,0.653,1
2,2,2,3,1.244,0.616,1
2,2,2,3,0.661,0.395,1
2,2,2,3,0.957,0.266,1
2,2,1,2,0.889,0.208,1
2,2,2,2,0.874,0.236,1
2,2,2,2,1.337,0.207,1
2,2,2,2,0.797,0.201,1
2,2,2,3,1.268,0.286,1
2,1,1,2,0.517,0.793,1
2,1,1,1,1.366,0.317,1
2,2,1,2,1.02,0.554,1
2,1,2,1,1.893,0.317,1
2,2,2,2,1.192,0.333,1
2,2,2,2,0.689,0.323,1
2,2,2,1,0.921,0.242,1
2,2,1,1,0.807,0.386,1
2,2,2,1,1.017,0.905,1
2,1,2,1,0.712,0.382,1
2,2,2,1,1.49,0.227,1
2,1,-10,-10,-10,-10,1
2,1,1,3,0.885,0.677,1
2,2,2,2,1.307,0.381,1
2,1,1,3,0.847,0.739,1
2,1,1,1,1.405,0.472,1
2,1,1,2,0.592,0.316,1
2,1,1,1,0.64,0.281,1
2,2,2,3,1.181,0.609,1
2,2,2,2,1.044,0.862,1
2,1,1,2,0.562,0.622,1
2,1,2,1,0.965,1,1
2,1,1,2,0.842,0.982,1
2,1,1,3,1.038,0.566,1
2,1,1,1,0.661,1.126,1
2,1,1,1,0.64,0.366,1
2,2,2,1,0.909,0.419,1
2,2,2,2,1.077,0.469,1
2,1,1,2,0.637,0.556,1
2,1,1,3,0.816,0.445,1
2,2,2,2,1.208,0.62,1
2,1,-10,-10,-10,-10,1
3,2,2,4,0.221,2.855,1
3,2,1,4,0.207,2.43,1
3,1,1,4,1.227,3.532,1
3,1,1,4,0.615,1.052,1
3,1,1,4,0.347,0.461,1
3,1,1,4,0.309,0.355,1
3,2,2,1,0.744,0.752,1
3,1,1,4,0.328,0.482,1
3,1,1,3,0.636,0.812,1
3,2,1,3,0.836,1.116,1
3,2,2,2,1.54,0.968,1
3,2,1,2,1.015,0.549,1
3,2,2,1,1.173,0.674,1
3,1,1,2,0.829,1.001,1
3,2,1,1,0.851,0.591,1
3,1,1,3,0.868,1.12,1
3,1,1,2,0.674,0.471,1
3,1,1,2,0.877,0.504,1
3,2,2,3,1.601,0.683,1
3,2,2,1,0.828,0.678,1
3,1,1,4,0.076,1.203,1
3,1,1,3,0.516,0.688,1
3,2,2,1,0.741,0.543,1
3,1,1,3,0.56,0.608,1
3,1,1,3,0.945,0.467,1
3,2,2,2,1.01,0.638,1
3,2,1,1,0.57,0.574,1
3,2,2,2,0.709,0.455,1
3,1,1,1,0.355,0.865,1
3,2,2,2,0.757,0.562,1
3,2,1,1,0.761,0.975,1
3,2,1,2,0.758,0.451,1
3,1,1,3,0.791,0.567,1
3,1,2,1,0.832,0.502,1
3,2,2,3,0.657,0.56,1
3,1,1,2,0.373,0.91,1
3,2,2,4,0.92,0.49,1
3,1,1,3,0.555,0.56,1
3,1,2,2,0.973,0.588,1
3,1,-10,-10,-10,-10,1
3,2,2,4,0.183,0.704,1
